Company Name,Symbol,ISIN Code
GODREJ CONSUMER PRODUCTS LIMITED,GODREJCP,INE102D01028
POWER GRID CORPORATION OF INDIA LIMITED,POWERGRID,INE752E01010
CUMMINS INDIA LIMITED,CUMMINSIND,INE298A01020
ABB INDIA LIMITED,ABB,INE117A01022
BOSCH LIMITED,BOSCHLTD,INE323A01026
REC LIMITED,RECLTD,INE020B01018
LTM LIMITED,LTM,INE214T01019
JSW STEEL LIMITED,JSWSTEEL,INE019A04016
ULTRATECH CEMENT LIMITED,ULTRACEMCO,INE481G01011
GRASIM INDUSTRIES LIMITED,GRASIM,INE047A01021
PUNJAB NATIONAL BANK,PNB,INE160A01022
SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,MOTHERSON,INE775A01035
JIO FINANCIAL SERVICES LIMITED,JIOFIN,INE758E01017
POWER FINANCE CORPORATION LIMITED,PFC,INE134E01011
APOLLO HOSPITALS ENTERPRISE LIMITED,APOLLOHOSP,INE437A01024
HINDUSTAN AERONAUTICS LIMITED,HAL,INE066F01020
HINDUSTAN ZINC LIMITED,HINDZINC,INE267A01025
MAX HEALTHCARE INSTITUTE LIMITED,MAXHEALTH,INE027H01010
SBI LIFE INSURANCE COMPANY LIMITED,SBILIFE,INE123W01016
PIDILITE INDUSTRIES LIMITED,PIDILITIND,INE318A01026
HDFC ASSET MANAGEMENT COMPANY LIMITED,HDFCAMC,INE127D01025
DR. REDDY'S LABORATORIES LIMITED,DRREDDY,INE089A01031
INDIAN RAILWAY FINANCE CORPORATION LIMITED,IRFC,INE053F01010
CIPLA LIMITED,CIPLA,INE059A01026
TORRENT PHARMACEUTICALS LIMITED,TORNTPHARM,INE685A01028
SIEMENS LIMITED,SIEMENS,INE003A01024
JINDAL STEEL LIMITED,JINDALSTEL,INE749A01030
HYUNDAI MOTOR INDIA LIMITED,HYUNDAI,INE0V6F01027
HDFC LIFE INSURANCE COMPANY LIMITED,HDFCLIFE,INE795G01014
ZYDUS LIFESCIENCES LIMITED,ZYDUSLIFE,INE010B01027
GAIL (INDIA) LIMITED,GAIL,INE129A01019
TATA CAPITAL LIMITED,TATACAP,INE976I01016
BAJAJ HOLDINGS & INVESTMENT LIMITED,BAJAJHLDNG,INE118A01012
UNITED SPIRITS LIMITED,UNITDSPR,INE854D01024
SHREE CEMENT LIMITED,SHREECEM,INE070A01015
