Company Name,Symbol,ISIN Code
PG ELECTROPLAST LIMITED,PGEL,INE457L01029
SHIPPING CORPORATION OF INDIA LIMITED,SCI,INE109A01011
KARUR VYSYA BANK LIMITED,KARURVYSYA,INE036D01028
POONAWALLA FINCORP LIMITED,POONAWALLA,INE511C01022
LATENT VIEW ANALYTICS LIMITED,LATENTVIEW,INE0I7C01011
R R KABEL LIMITED,RRKABEL,INE777K01022
MOTHERSON SUMI WIRING INDIA LIMITED,MSUMI,INE0FS801015
CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED,CROMPTON,INE299U01018
PIRAMAL PHARMA LIMITED,PPLPHARMA,INE0DK501011
BEML LIMITED,BEML,INE258A01024
JAIPRAKASH POWER VENTURES LIMITED,JPPOWER,INE351F01018
AADHAR HOUSING FINANCE LIMITED,AADHARHFC,INE883F01010
THE GREAT EASTERN SHIPPING COMPANY LIMITED,GESHIP,INE017A01032
BANDHAN BANK LIMITED,BANDHANBNK,INE545U01014
HEG LIMITED,HEG,INE545A01024
MANAPPURAM FINANCE LIMITED,MANAPPURAM,INE522D01027
FIRSTSOURCE SOLUTIONS LIMITED,FSL,INE684F01012
BLUE JET HEALTHCARE LIMITED,BLUEJET,INE0KBH01020
CARTRADE TECH LIMITED,CARTRADE,INE290S01011
ANAND RATHI WEALTH LIMITED,ANANDRATHI,INE463V01026
SCHNEIDER ELECTRIC INFRASTRUCTURE LIMITED,SCHNEIDER,INE839M01018
PARADEEP PHOSPHATES LIMITED,PARADEEP,INE088F01024
NEULAND LABORATORIES LIMITED,NEULANDLAB,INE794A01010
NAVIN FLUORINE INTERNATIONAL LIMITED,NAVINFLUOR,INE048G01026
POLY MEDICURE LIMITED,POLYMED,INE205C01021
KEC INTERNATIONAL LIMITED,KEC,INE389H01022
TENNECO CLEAN AIR INDIA LIMITED,TENNIND,INE19RI01016
ACME SOLAR HOLDINGS LIMITED,ACMESOLAR,INE622W01025
NEWGEN SOFTWARE TECHNOLOGIES LIMITED,NEWGEN,INE619B01017
APTUS VALUE HOUSING FINANCE INDIA LIMITED,APTUS,INE852O01025
DEEPAK FERTILIZERS AND PETROCHEMICALS CORPORATION LIMITED,DEEPAKFERT,INE501A01019
CREDITACCESS GRAMEEN LIMITED,CREDITACC,INE741K01010
JM FINANCIAL LIMITED,JMFINANCIL,INE780C01023
VIJAYA DIAGNOSTIC CENTRE LIMITED,VIJAYA,INE043W01024
ZF COMMERCIAL VEHICLE CONTROL SYSTEMS INDIA LIMITED,ZFCVINDIA,INE342J01019
PNB HOUSING FINANCE LIMITED,PNBHOUSING,INE572E01012
PIRAMAL FINANCE LIMITED,PIRAMALFIN,INE202B01038
AARTI INDUSTRIES LIMITED,AARTIIND,INE769A01020
INOX WIND LIMITED,INOXWIND,INE066P01011
INDRAPRASTHA GAS LIMITED,IGL,INE203G01027
KRISHNA INSTITUTE OF MEDICAL SCIENCES LIMITED,KIMS,INE967H01025
TRIVENI TURBINE LIMITED,TRITURBINE,INE152M01016
URBAN COMPANY LIMITED,URBANCO,INE0CAZ01013
ENGINEERS INDIA LIMITED,ENGINERSIN,INE510A01028
HONASA CONSUMER LIMITED,HONASA,INE0J5401028
SHYAM METALICS AND ENERGY LIMITED,SHYAMMETL,INE810G01011
JAIN RESOURCE RECYCLING LIMITED,JAINREC,INE0YD401026
SAI LIFE SCIENCES LIMITED,SAILIFE,INE570L01029
WELSPUN CORP LIMITED,WELCORP,INE191B01025
CAPRI GLOBAL CAPITAL LIMITED,CGCL,INE180C01042
LEMON TREE HOTELS LIMITED,LEMONTREE,INE970X01018
ANUPAM RASAYAN INDIA LIMITED,ANURAS,INE930P01018
CHENNAI PETROLEUM CORPORATION LIMITED,CHENNPETRO,INE178A01016
JBM AUTO LIMITED,JBMA,INE927D01051
INTELLECT DESIGN ARENA LIMITED,INTELLECT,INE306R01017
JINDAL SAW LIMITED,JINDALSAW,INE324A01032
JUBILANT INGREVIA LIMITED,JUBLINGREA,INE0BY001018
ADITYA BIRLA REAL ESTATE LIMITED,ABREL,INE055A01016
NUVAMA WEALTH MANAGEMENT LIMITED,NUVAMA,INE531F01023
JYOTI CNC AUTOMATION LIMITED,JYOTICNC,INE980O01024
NARAYANA HRUDAYALAYA LTD.,NH,INE410P01011
DR. LAL PATH LABS LTD.,LALPATHLAB,INE600L01024
MANGALORE REFINERY AND PETROCHEMICALS LIMITED,MRPL,INE103A01014
KAJARIA CERAMICS LIMITED,KAJARIACER,INE217B01036
THE RAMCO CEMENTS LIMITED,RAMCOCEM,INE331A01037
BALRAMPUR CHINI MILLS LIMITED,BALRAMCHIN,INE119A01028
NATCO PHARMA LIMITED,NATCOPHARM,INE987B01026
GRAPHITE INDIA LIMITED,GRAPHITE,INE371A01025
GRAVITA INDIA LIMITED,GRAVITA,INE024L01027
TATA CHEMICALS LIMITED,TATACHEM,INE092A01019
INDIAN ENERGY EXCHANGE LIMITED,IEX,INE022Q01020
EMCURE PHARMACEUTICALS LIMITED,EMCURE,INE168P01015
ASTER DM HEALTHCARE LIMITED,ASTERDM,INE914M01019
BLS INTERNATIONAL SERVICES LIMITED,BLS,INE153T01027
KALPATARU PROJECTS INTERNATIONAL LIMITED,KPIL,INE220B01022
TITAGARH RAIL SYSTEMS LIMITED,TITAGARH,INE615H01020
EID PARRY INDIA LIMITED,EIDPARRY,INE126A01031
ADITYA BIRLA SUN LIFE AMC LIMITED,ABSLAMC,INE404A01024
GODAWARI POWER AND ISPAT LIMITED,GPIL,INE177H01039
HOME FIRST FINANCE COMPANY INDIA LIMITED,HOMEFIRST,INE481N01025
AFFLE 3I LIMITED,AFFLE,INE00WC01027
INTERNATIONAL GEMOLOGICAL INSTITUTE LIMITED,IGIL,INE0Q9301021
EMAMI LIMITED,EMAMILTD,INE548C01032
SOBHA LIMITED,SOBHA,INE671H01015
GABRIEL INDIA LIMITED,GABRIEL,INE524A01029
TRIDENT LIMITED,TRIDENT,INE064C01022
ONESOURCE SPECIALTY PHARMA LIMITED,ONESOURCE,INE013P01021
DEEPAK NITRITE LIMITED,DEEPAKNTR,INE288B01029
CENTRAL BANK OF INDIA,CENTRALBK,INE483A01010
SYNGENE INTERNATIONAL LIMITED,SYNGENE,INE398R01022
DOMS INDUSTRIES LIMITED,DOMS,INE321T01012
IRB INFRASTRUCTURE DEVELOPERS LIMITED,IRB,INE821I01022
CAN FIN HOMES LIMITED,CANFINHOME,INE477A01020
UTI ASSET MANAGEMENT COMPANY LIMITED,UTIAMC,INE094J01016
SARDA ENERGY & MINERALS LIMITED,SARDAEN,INE385C01021
MINDA CORPORATION LIMITED,MINDACORP,INE842C01021
WELSPUN LIVING LIMITED,WELSPUNLIV,INE192B01031
CANARA HSBC LIFE INSURANCE COMPANY LIMITED,CANHLIFE,INE01TY01017
MAHANAGAR GAS LIMITED,MGL,INE002S01010
AEGIS VOPAK TERMINALS LIMITED,AEGISVOPAK,INE0INX01018
FINOLEX CABLES LIMITED,FINCABLES,INE235A01022
VARDHMAN TEXTILES LIMITED,VTL,INE825A01020
PTC INDUSTRIES LIMITED,PTCIL,INE596F01018
USHA MARTIN LIMITED,USHAMART,INE228A01035
ACTION CONSTRUCTION EQUIPMENT LIMITED,ACE,INE731H01025
BRIGADE ENTERPRISES LIMITED,BRIGADE,INE791I01019
PCBL CHEMICAL LIMITED,PCBL,INE602A01031
JB CHEMICALS & PHARMACEUTICALS LIMITED,JBCHEPHARM,INE572A01036
ELGI EQUIPMENTS LIMITED,ELGIEQUIP,INE285A01027
NCC LIMITED,NCC,INE868B01028
CAPLIN POINT LABORATORIES LIMITED,CAPLIPOINT,INE475E01026
NAVA LIMITED,NAVA,INE725A01030
ASAHI INDIA GLASS LIMITED,ASAHIINDIA,INE439A01020
CRAFTSMAN AUTOMATION LIMITED,CRAFTSMAN,INE00LO01017
SIGNATUREGLOBAL (INDIA) LIMITED,SIGNATURE,INE903U01023
SWAN CORP LIMITED,SWANCORP,INE665A01038
CASTROL INDIA LIMITED,CASTROLIND,INE172A01027
CHALET HOTELS LIMITED,CHALET,INE427F01016
CHAMBAL FERTILIZERS & CHEMICALS LIMITED,CHAMBLFERT,INE085A01013
RAILTEL CORPORATION OF INDIA LIMITED,RAILTEL,INE0DD101019
UCO BANK,UCOBANK,INE691A01018
JUPITER WAGONS LIMITED,JWL,INE209L01016
TECHNO ELECTRIC & ENGINEERING COMPANY LIMITED,TECHNOE,INE285K01026
RAINBOW CHILDRENS MEDICARE LIMITED,RAINBOW,INE961O01016
LT FOODS LIMITED,LTFOODS,INE818H01020
JSW DULUX LIMITED,JSWDULUX,INE133A01011
JSW CEMENT LIMITED,JSWCEMENT,INE718I01012
NMDC STEEL LIMITED,NSLNISP,INE0NNS01018
CESC LIMITED,CESC,INE486A01021
CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,CHOLAHLDNG,INE149A01033
RAMKRISHNA FORGINGS LIMITED,RKFORGE,INE399G01023
SAREGAMA INDIA LIMITED,SAREGAMA,INE979A01025
DEVYANI INTERNATIONAL LIMITED,DEVYANI,INE872J01023
ALLIED BLENDERS AND DISTILLERS LIMITED,ABDL,INE552Z01027
STAR HEALTH AND ALLIED INSURANCE COMPANY LIMITED,STARHEALTH,INE575P01011
IRCON INTERNATIONAL LIMITED,IRCON,INE962Y01021
ELECON ENGINEERING COMPANY LIMITED,ELECON,INE205B01031
COHANCE LIFESCIENCES LIMITED,COHANCE,INE03QK01018
TIMKEN INDIA LIMITED,TIMKEN,INE325A01013
MMTC LIMITED,MMTC,INE123F01029
CIE AUTOMOTIVE INDIA LIMITED,CIEINDIA,INE536H01010
PFIZER LIMITED,PFIZER,INE182A01018
FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,FACT,INE188A01015
ADITYA BIRLA LIFESTYLE BRANDS LIMITED,ABLBL,INE14LE01019
CYIENT LIMITED,CYIENT,INE136B01020
CCL PRODUCTS (INDIA) LIMITED,CCL,INE421D01022
CARBORUNDUM UNIVERSAL LIMITED,CARBORUNIV,INE120A01034
GILLETTE INDIA LIMITED,GILLETTE,INE322A01010
BATA INDIA LIMITED,BATAINDIA,INE176A01028
ATUL LIMITED,ATUL,INE100A01010
SUN TV NETWORK LIMITED,SUNTV,INE424H01027
PVR INOX LIMITED,PVRINOX,INE191H01014
CLEAN SCIENCE AND TECHNOLOGY LIMITED,CLEAN,INE227W01023
NUVOCO VISTAS CORPORATION LIMITED,NUVOCO,INE118D01016
THE INDIA CEMENTS LIMITED,INDIACEM,INE383A01012
BIKAJI FOODS INTERNATIONAL LIMITED,BIKAJI,INE00E101023
SUMITOMO CHEMICAL INDIA LIMITED,SUMICHEM,INE258G01013
ITI LIMITED,ITI,INE248A01017
AAVAS FINANCIERS LIMITED,AAVAS,INE216P01012
SBFC FINANCE LIMITED,SBFC,INE423Y01016
INDIAMART INTERMESH LIMITED,INDIAMART,INE933S01016
AFCONS INFRASTRUCTURE LIMITED,AFCONS,INE101I01011
TATA TELESERVICES (MAHARASHTRA) LIMITED,TTML,INE517B01013
CONCORD BIOTECH LIMITED,CONCORDBIO,INE338H01029
GO DIGIT GENERAL INSURANCE LIMITED,GODIGIT,INE03JT01014
BAYER CROPSCIENCE LIMITED,BAYERCROP,INE462A01022
INDEGENE LIMITED,INDGN,INE065X01017
INDIAN OVERSEAS BANK,IOB,INE565A01014
LEELA PALACES HOTELS & RESORTS LIMITED,THELEELA,INE0AQ201015
NIVA BUPA HEALTH INSURANCE COMPANY LIMITED,NIVABUPA,INE995S01015
TEGA INDUSTRIES LIMITED,TEGA,INE011K01018
WHIRLPOOL OF INDIA LIMITED,WHIRLPOOL,INE716A01013
JUBILANT PHARMOVA LIMITED,JUBLPHARMA,INE700A01033
THE BOMBAY BURMAH TRADING CORPORATION LIMITED,BBTC,INE050A01025
SAPPHIRE FOODS INDIA LIMITED,SAPPHIRE,INE806T01020
ERIS LIFESCIENCES LIMITED,ERIS,INE406M01024
SUPREME PETROCHEM LIMITED,SPLPETRO,INE663A01033
EIH LIMITED,EIHOTEL,INE230A01023
DCM SHRIRAM LIMITED,DCMSHRIRAM,INE499A01024
BLUE DART EXPRESS LIMITED,BLUEDART,INE233B01017
TRAVEL FOOD SERVICES LIMITED,TRAVELFOOD,INE103V01028
GALLANTT ISPAT LIMITED,GALLANTT,INE297H01019
